obsDate,temp,tempFeel,RH,MSLP,windSpeed,windDir,clouds,rain
20-12-22 20:24,22.9,22.7,53,1012,3.7,0,3,0.0
20-12-22 21:08,22.9,23.9,100,1012,3.7,0,2,0.0
20-12-22 22:18,22.9,23.9,100,1013,3.7,0,2,0.0
20-12-22 23:08,20.9,21.7,100,1012,3.7,0,3,0.0
21-12-22 00:11,20.9,21.7,100,1012,3.7,0,10,0.0
21-12-22 01:08,20.9,21.7,100,1012,3.7,0,13,0.0
21-12-22 02:09,20.6,20.7,74,1011,8.4,12,17,0.0
21-12-22 03:08,20.3,20.3,75,1011,8.1,13,19,0.0
21-12-22 04:08,20.1,20.1,75,1011,8.4,12,35,0.0
21-12-22 05:09,19.9,20.6,100,1011,3.7,0,46,0.0
21-12-22 07:22,17.9,18.4,100,1012,3.7,0,100,0.0
21-12-22 08:19,20.9,21.5,94,1013,3.7,0,98,0.0
21-12-22 09:09,21.9,22.5,88,1014,7.4,300,99,0.0
21-12-22 10:12,24.9,25.7,83,1014,7.4,240,99,0.0
21-12-22 11:08,25.9,26.6,78,1013,7.4,290,40,0.0
21-12-22 12:12,25.9,26.6,78,1013,9.3,60,100,0.0
21-12-22 13:04,27.9,29.5,61,1012,11.1,90,100,0.0
21-12-22 14:11,27.9,29.5,61,1010,11.1,80,100,0.0
21-12-22 15:08,27.9,29.5,61,1009,16.7,90,20,0.0
21-12-22 16:09,25.1,25.2,59,1010,13.9,87,99,0.0
21-12-22 17:07,25.9,26.5,73,1010,16.7,90,20,0.0
21-12-22 18:26,24.9,25.7,83,1011,7.4,90,20,0.0
21-12-22 19:08,23.9,24.7,88,1011,5.5,70,20,0.0
21-12-22 20:09,23.9,25.0,100,1012,5.5,60,20,0.0
21-12-22 21:08,23.9,25.0,100,1013,5.5,50,20,0.0
21-12-22 22:18,22.9,23.9,100,1013,3.7,0,20,0.0
21-12-22 23:05,22.9,23.9,100,1013,3.7,0,20,0.0
22-12-22 00:08,22.9,23.9,100,1012,3.7,0,20,0.0
22-12-22 01:08,22.9,23.9,100,1012,3.7,0,20,0.0
22-12-22 02:08,21.0,21.2,76,1011,9.9,16,86,0.0
22-12-22 03:08,20.9,21.0,76,1011,9.6,18,89,0.0
22-12-22 04:08,20.7,20.9,76,1011,8.6,23,91,0.0
22-12-22 05:08,20.9,21.7,100,1011,3.7,0,20,0.0
22-12-22 07:23,21.9,22.6,94,1012,5.5,30,75,0.0
22-12-22 08:21,22.9,23.7,94,1013,3.7,0,75,0.0
22-12-22 09:09,23.9,24.7,88,1014,7.4,30,40,0.0
22-12-22 10:12,24.9,25.4,73,1014,7.4,60,40,0.0
22-12-22 11:08,26.9,28.4,65,1014,9.3,70,40,0.0
22-12-22 14:33,27.9,28.1,47,1010,11.1,60,75,0.0
22-12-22 15:08,27.9,28.1,47,1010,13.0,20,75,0.0
22-12-22 16:10,27.9,28.8,54,1010,11.1,80,75,0.0
22-12-22 17:08,25.9,26.3,65,1010,14.8,80,75,0.0
22-12-22 18:27,23.9,24.3,73,1011,5.5,60,40,0.0
22-12-22 19:09,23.9,24.3,73,1011,7.4,80,40,0.0
22-12-22 20:08,23.9,24.3,73,1012,7.4,80,75,0.0
22-12-22 21:09,23.9,24.4,78,1012,5.5,60,75,0.0
22-12-22 22:17,23.9,24.4,78,1012,3.7,0,40,0.0
22-12-22 23:08,19.9,20.4,94,1012,5.5,270,40,0.0
23-12-22 00:11,19.9,20.4,94,1012,5.5,280,40,0.0
23-12-22 01:08,19.9,20.4,94,1011,7.4,270,40,0.0
23-12-22 02:08,19.9,20.4,94,1011,7.4,320,40,0.0
23-12-22 03:08,19.9,20.4,94,1011,7.4,300,40,0.0
23-12-22 04:08,20.0,20.0,76,1011,10.1,15,87,0.0
23-12-22 05:08,19.8,19.8,75,1011,9.4,24,88,0.0
23-12-22 07:25,17.9,18.4,100,1012,3.7,0,40,0.0
23-12-22 08:21,20.9,21.4,88,1013,7.4,50,99,0.0
23-12-22 09:09,22.9,23.3,78,1014,9.3,50,99,0.0
23-12-22 10:11,24.9,25.3,69,1014,9.3,50,99,0.0
23-12-22 12:07,26.9,27.2,47,1012,16.7,40,100,0.0
23-12-22 13:08,27.9,28.1,47,1011,18.5,50,98,0.0
23-12-22 14:10,27.9,27.8,42,1011,18.5,90,87,0.0
23-12-22 15:08,27.9,27.4,36,1010,18.5,50,84,0.0
23-12-22 16:09,27.9,27.2,32,1010,14.8,70,80,0.0
23-12-22 17:08,26.9,26.5,34,1010,9.3,80,68,0.0
23-12-22 18:25,24.9,24.4,36,1011,3.7,0,61,0.0
23-12-22 19:08,23.9,23.5,43,1011,3.7,0,33,0.0
23-12-22 20:08,22.9,23.0,64,1012,3.7,0,30,0.0
23-12-22 21:08,23.9,24.0,60,1012,3.7,0,24,0.0
23-12-22 22:15,23.9,24.2,69,1013,7.4,80,22,0.0
23-12-22 23:08,22.9,23.3,78,1013,7.4,30,26,0.0
24-12-22 00:11,22.9,23.5,83,1013,3.7,0,44,0.0
24-12-22 01:08,20.9,21.4,88,1012,3.7,0,64,0.0
24-12-22 02:08,20.1,19.9,66,1011,9.9,8,65,0.0
24-12-22 03:07,20.0,19.8,66,1012,9.4,17,55,0.0
24-12-22 04:05,20.0,19.8,67,1012,9.9,27,49,0.0
24-12-22 05:07,19.9,19.7,68,1012,10.7,31,45,0.0
24-12-22 07:19,20.9,20.7,63,1014,11.4,25,16,0.0
24-12-22 08:16,22.9,22.7,54,1015,13.8,27,15,0.0
24-12-22 09:05,24.7,24.5,48,1015,17.1,37,12,0.0
24-12-22 10:06,26.1,26.1,44,1014,19.2,46,10,0.0
24-12-22 11:03,27.9,27.6,39,1014,14.8,70,9,0.0
24-12-22 12:08,27.9,28.1,47,1014,13.0,60,1,0.0
24-12-22 13:08,28.9,29.0,45,1013,11.1,80,6,0.0
24-12-22 14:09,29.9,29.9,42,1012,14.8,70,14,0.0
24-12-22 15:06,29.9,29.5,39,1011,14.8,70,31,0.0
24-12-22 16:08,28.9,28.5,39,1011,11.1,80,32,0.0
24-12-22 17:08,27.9,28.5,51,1011,11.1,80,31,0.0
24-12-22 18:23,25.9,26.5,73,1012,7.4,60,19,0.0
24-12-22 19:08,24.9,25.5,78,1012,7.4,60,38,0.0
24-12-22 20:08,23.9,24.7,88,1013,5.5,50,28,0.0
24-12-22 21:08,23.9,24.8,94,1014,5.5,60,22,0.0
24-12-22 22:14,20.9,21.7,100,1014,3.7,0,18,0.0
24-12-22 23:08,20.9,21.7,100,1014,3.7,0,16,0.0
25-12-22 00:09,19.9,20.6,100,1014,3.7,0,8,0.0
25-12-22 01:08,20.9,21.7,100,1013,3.7,0,28,0.0
25-12-22 02:08,20.8,21.0,81,1012,8.8,6,42,0.0
25-12-22 03:08,20.9,21.7,100,1012,3.7,0,57,0.0
25-12-22 04:08,20.4,20.6,82,1012,9.0,14,65,0.0
25-12-22 05:08,20.2,20.4,82,1012,9.6,12,71,0.0
25-12-22 07:27,20.9,21.5,94,1013,3.7,0,96,0.0
25-12-22 08:21,22.9,23.6,88,1015,5.5,250,97,0.0
25-12-22 09:08,23.9,24.6,83,1015,5.5,220,97,0.0
25-12-22 10:11,26.9,29.1,74,1015,7.4,300,96,0.0
25-12-22 11:08,28.9,30.1,54,1015,13.0,90,81,0.0
25-12-22 12:10,29.9,29.9,42,1014,13.0,100,54,0.0
25-12-22 13:08,30.9,30.0,33,1013,14.8,80,50,0.0
25-12-22 14:08,30.9,29.7,30,1012,14.8,100,54,0.0
25-12-22 15:08,28.9,28.1,34,1012,11.1,90,54,0.0
25-12-22 16:08,27.9,28.5,51,1012,14.8,100,60,0.0
25-12-22 17:08,27.9,28.8,54,1013,14.8,100,60,0.0
25-12-22 18:22,25.9,26.6,78,1013,11.1,80,13,0.0
25-12-22 19:08,25.9,26.9,89,1014,9.3,90,75,0.0
25-12-22 20:08,25.9,26.9,89,1015,7.4,100,75,0.0
25-12-22 21:08,24.9,25.8,88,1015,3.7,0,40,0.0
25-12-22 22:15,22.9,23.7,94,1016,3.7,0,40,0.0
25-12-22 23:08,22.9,23.7,94,1016,3.7,0,40,0.0
26-12-22 00:09,21.9,22.8,100,1016,3.7,0,40,0.0
26-12-22 01:08,22.9,23.7,94,1015,3.7,0,40,0.0
26-12-22 02:08,22.9,23.7,94,1015,3.7,0,40,0.0
26-12-22 03:08,21.7,22.0,79,1013,6.8,13,1,0.0
26-12-22 04:08,21.5,21.8,80,1013,7.9,14,2,0.0
26-12-22 05:08,21.9,22.8,100,1014,3.7,0,20,0.0
26-12-22 07:26,21.9,22.6,94,1015,5.5,240,20,0.0
26-12-22 08:21,21.9,22.8,100,1016,5.5,290,20,0.0
26-12-22 09:08,24.9,25.7,83,1016,7.4,270,8,0.0
26-12-22 10:06,27.9,30.4,69,1017,9.3,80,20,0.0
26-12-22 11:08,28.9,32.6,70,1017,11.1,110,40,0.0
26-12-22 12:08,28.9,32.6,70,1016,7.4,90,40,0.0
26-12-22 13:08,29.9,34.0,66,1015,14.8,150,40,0.0
26-12-22 14:08,29.9,34.9,70,1014,18.5,150,40,0.0
26-12-22 15:08,28.9,33.4,74,1013,18.5,130,20,0.0
26-12-22 16:08,28.9,34.4,79,1013,18.5,130,20,0.0
26-12-22 17:08,27.9,33.4,89,1013,16.7,120,20,0.0
26-12-22 18:25,25.9,27.0,94,1014,11.1,120,0,0.0
26-12-22 19:08,25.9,27.0,94,1015,7.4,90,0,0.0
26-12-22 20:08,24.9,26.1,100,1016,7.4,110,2,0.0
26-12-22 21:08,24.9,26.1,100,1016,3.7,0,20,0.0
26-12-22 22:15,23.9,25.0,100,1017,3.7,0,20,0.0
26-12-22 23:08,23.9,25.0,100,1017,3.7,0,20,0.0
27-12-22 00:10,23.9,25.0,100,1016,3.7,0,40,0.0
27-12-22 01:08,23.9,25.0,100,1016,3.7,0,20,0.0
27-12-22 02:08,23.9,25.0,100,1015,3.7,0,20,0.0
27-12-22 03:08,23.0,23.6,88,1014,3.5,325,59,0.0
27-12-22 04:08,22.8,23.4,88,1014,5.0,345,58,0.0
27-12-22 05:07,22.6,23.2,89,1015,5.3,345,53,0.0
27-12-22 07:24,22.9,23.9,100,1016,3.7,0,20,0.0
27-12-22 08:17,24.9,25.9,94,1017,3.7,0,20,0.0
27-12-22 09:08,25.9,27.0,94,1017,3.7,0,20,0.0
27-12-22 10:11,27.9,33.4,89,1017,3.7,0,20,0.0
27-12-22 11:08,28.9,35.5,84,1016,7.4,160,40,0.0
27-12-22 12:11,28.9,35.5,84,1016,9.3,140,40,0.0
27-12-22 13:08,28.9,34.4,79,1015,13.0,130,40,0.0
27-12-22 14:10,28.9,35.5,84,1013,14.8,120,40,0.0
27-12-22 15:08,29.9,35.9,74,1013,14.8,130,40,0.0
27-12-22 16:08,28.9,34.4,79,1012,14.8,120,40,0.0
27-12-22 17:08,27.9,32.4,83,1013,13.0,120,40,0.0
27-12-22 18:25,26.9,30.5,89,1014,5.5,180,40,0.0
27-12-22 19:08,25.9,27.0,94,1014,9.3,210,40,0.0
27-12-22 20:08,25.9,27.2,100,1015,3.7,0,40,0.0
27-12-22 21:08,25.9,27.2,100,1015,3.7,0,40,0.0
27-12-22 22:12,24.9,26.1,100,1016,3.7,0,20,0.0
27-12-22 23:08,24.9,26.1,100,1016,3.7,0,20,0.0
28-12-22 00:10,24.9,26.1,100,1015,3.7,0,96,0.0
28-12-22 01:08,23.9,25.0,100,1015,3.7,0,98,0.0
28-12-22 02:08,23.5,24.1,87,1014,9.4,242,97,0.0
28-12-22 03:05,23.9,25.0,100,1014,3.7,0,94,0.0
28-12-22 04:08,23.1,23.8,88,1013,7.7,254,95,0.0
28-12-22 05:08,23.0,23.6,88,1014,6.4,271,91,0.0
28-12-22 07:24,21.9,22.8,100,1015,3.7,0,20,0.0
28-12-22 08:20,24.9,25.9,94,1016,5.5,250,99,0.0
28-12-22 09:09,25.9,26.9,89,1017,3.7,0,89,0.0
28-12-22 10:11,27.9,31.7,78,1017,5.5,240,20,0.0
28-12-22 11:06,28.9,34.4,79,1017,7.4,220,40,0.0
28-12-22 12:11,29.9,34.0,66,1016,7.4,250,40,0.0
28-12-22 13:08,30.9,35.2,62,1014,13.0,200,40,0.0
28-12-22 14:08,30.9,35.2,62,1013,14.8,200,40,0.0
28-12-22 15:08,30.9,36.3,66,1013,14.8,210,20,0.0
28-12-22 16:09,29.9,34.9,70,1013,16.7,220,20,0.0
28-12-22 17:08,28.9,33.4,74,1013,14.8,200,20,0.0
28-12-22 18:25,26.9,30.5,89,1014,7.4,230,20,0.0
28-12-22 19:08,26.9,30.5,89,1015,5.5,260,20,0.0
28-12-22 20:08,25.9,27.2,100,1015,3.7,0,20,0.0
28-12-22 21:08,25.9,27.2,100,1016,3.7,0,20,0.0
28-12-22 22:15,24.9,26.1,100,1016,3.7,0,20,0.0
28-12-22 23:08,24.9,26.1,100,1016,3.7,0,40,0.0
29-12-22 00:11,24.9,26.1,100,1016,3.7,0,40,0.0
29-12-22 01:08,24.9,26.1,100,1016,3.7,0,20,0.0
29-12-22 02:08,23.9,25.0,100,1015,3.7,0,20,0.0
29-12-22 03:08,23.9,25.0,100,1015,3.7,0,20,0.0
29-12-22 04:08,23.1,23.7,88,1014,3.9,287,31,0.0
29-12-22 05:08,23.9,25.0,100,1015,3.7,0,40,0.0
29-12-22 07:26,24.9,25.9,94,1016,3.7,0,40,0.0
29-12-22 08:21,25.9,26.9,89,1017,3.7,0,20,0.0
29-12-22 09:08,26.9,29.9,83,1018,3.7,0,20,0.0
29-12-22 10:11,27.9,31.7,78,1018,3.7,0,20,0.0
29-12-22 11:08,28.9,34.4,79,1018,5.5,170,20,0.0
29-12-22 12:11,29.9,35.9,74,1017,16.7,140,40,0.0
29-12-22 13:05,28.8,30.7,60,1014,17.6,92,8,0.0
29-12-22 14:10,29.9,34.0,66,1015,18.5,110,40,0.0
29-12-22 15:08,27.3,29.3,69,1013,20.2,109,9,0.0
29-12-22 16:08,28.9,32.6,70,1014,13.0,150,40,0.0
29-12-22 17:08,27.9,31.1,74,1014,11.1,110,20,0.0
29-12-22 18:25,25.9,26.9,89,1015,7.4,100,20,0.0
29-12-22 19:08,25.9,26.9,89,1016,3.7,90,20,0.0
29-12-22 20:05,25.9,26.9,89,1017,3.7,0,40,0.0
29-12-22 21:08,24.9,25.9,94,1017,3.7,0,20,0.0
29-12-22 22:15,24.9,25.9,94,1018,3.7,0,40,0.0
29-12-22 23:08,24.9,25.9,94,1018,3.7,0,40,0.0
30-12-22 00:10,24.9,25.9,94,1018,3.7,0,75,0.0
30-12-22 01:08,24.9,25.9,94,1018,3.7,0,40,0.0
30-12-22 02:08,24.9,25.9,94,1017,3.7,0,40,0.0
30-12-22 03:05,23.3,24.0,86,1016,5.8,5,12,0.0
30-12-22 04:08,23.2,23.9,86,1016,6.6,24,13,0.0
30-12-22 05:08,22.9,23.9,100,1016,3.7,0,40,0.0
30-12-22 07:27,21.9,22.8,100,1018,3.7,0,2,0.0
30-12-22 08:22,23.9,24.8,94,1019,3.7,0,7,0.0
30-12-22 09:06,24.9,25.9,94,1019,3.7,0,9,0.0
30-12-22 10:11,26.9,29.4,78,1020,3.7,0,20,0.0
30-12-22 11:08,27.9,31.7,78,1019,3.7,0,40,0.0
30-12-22 12:08,28.9,32.6,70,1018,13.0,120,40,0.0
30-12-22 13:08,28.9,31.7,65,1017,18.5,130,40,0.0
30-12-22 14:10,28.9,31.7,65,1016,16.7,120,40,0.0
30-12-22 15:07,27.9,31.1,74,1015,18.5,120,40,0.0
30-12-22 16:08,27.9,31.1,74,1015,14.8,110,40,0.0
30-12-22 17:08,26.9,29.4,78,1015,13.0,110,40,0.0
30-12-22 18:22,26.9,29.4,78,1016,11.1,120,40,0.0
30-12-22 19:08,25.9,26.8,83,1016,9.3,100,40,0.0
30-12-22 20:08,25.9,26.8,83,1017,11.1,120,40,0.0
30-12-22 21:08,25.9,26.9,89,1018,5.5,120,40,0.0
30-12-22 22:14,24.9,25.9,94,1018,3.7,0,40,0.0
30-12-22 23:08,24.9,25.9,94,1018,3.7,0,40,0.0
31-12-22 00:08,23.9,25.0,100,1018,3.7,0,40,0.0
31-12-22 01:08,23.9,25.0,100,1017,3.7,0,40,0.0
31-12-22 02:08,22.9,23.9,100,1016,3.7,0,40,0.0
31-12-22 03:08,23.9,24.5,80,1015,2.6,349,74,0.0
31-12-22 04:06,21.9,22.8,100,1016,3.7,0,40,0.0
31-12-22 05:08,23.7,24.2,78,1016,2.9,347,67,0.0
31-12-22 07:23,21.9,22.8,100,1017,3.7,0,40,0.0
31-12-22 08:18,22.9,23.9,100,1018,3.7,0,40,0.0
31-12-22 09:08,24.9,25.8,88,1019,3.7,0,40,0.0
31-12-22 10:10,26.9,29.4,78,1019,5.5,280,40,0.0
31-12-22 11:08,27.9,30.4,69,1018,7.4,260,40,0.0
31-12-22 12:10,27.9,30.4,69,1017,5.5,80,40,0.0
31-12-22 13:08,28.9,31.7,65,1016,13.0,150,40,0.0
31-12-22 14:09,28.9,31.7,65,1015,13.0,110,40,0.0
31-12-22 15:08,28.9,31.7,65,1013,14.8,140,40,0.0
31-12-22 16:08,27.9,30.4,69,1014,13.0,130,40,0.0
31-12-22 17:08,27.9,30.4,69,1014,13.0,130,40,0.0
31-12-22 18:22,26.9,29.4,78,1014,5.5,140,40,0.0
31-12-22 19:08,25.9,26.8,83,1015,5.5,180,40,0.0
31-12-22 20:08,24.9,25.8,88,1016,3.7,0,40,0.0
31-12-22 21:08,23.9,24.8,94,1016,3.7,0,40,0.0
31-12-22 22:14,23.9,24.8,94,1017,3.7,0,40,0.0
31-12-22 23:08,23.9,24.8,94,1017,3.7,0,40,0.0
01-01-23 00:09,23.9,24.8,94,1016,3.7,0,40,0.0
01-01-23 01:08,23.9,25.0,100,1016,3.7,0,40,0.0
01-01-23 02:08,23.9,24.8,94,1016,3.7,0,40,0.0
01-01-23 03:08,23.9,24.5,80,1015,1.5,167,82,0.0
01-01-23 04:08,23.9,24.8,94,1015,3.7,0,40,0.0
01-01-23 05:08,24.1,24.6,79,1016,3.8,116,88,0.0
01-01-23 07:39,22.9,23.9,100,1016,3.7,0,40,0.0
01-01-23 08:33,24.9,25.9,94,1017,3.7,0,20,0.0
01-01-23 09:10,25.9,26.8,83,1018,5.5,280,20,0.0
01-01-23 10:10,26.9,29.4,78,1018,9.3,310,20,0.0
01-01-23 11:08,27.9,30.4,69,1018,7.4,310,40,0.0
01-01-23 12:10,28.9,31.7,65,1017,11.1,130,40,0.0
01-01-23 13:08,27.9,30.4,69,1016,14.8,120,40,0.0
01-01-23 14:10,27.9,31.1,74,1015,16.7,120,40,0.0
01-01-23 15:08,27.9,30.4,69,1014,18.5,110,40,0.0
01-01-23 16:08,26.2,26.2,65,1014,14.9,138,50,0.0
01-01-23 17:08,25.3,25.7,68,1015,12.9,142,44,0.0
01-01-23 18:24,25.9,26.8,83,1015,9.3,120,40,0.0
01-01-23 19:08,25.9,26.6,78,1016,7.4,110,40,0.0
01-01-23 20:08,25.9,26.8,83,1016,5.5,110,40,0.0
01-01-23 21:08,24.9,25.8,88,1017,5.5,80,40,0.0
01-01-23 22:14,24.9,25.8,88,1017,7.4,110,40,0.0
01-01-23 23:08,24.9,25.8,88,1017,7.4,110,40,0.0
02-01-23 00:09,24.9,25.8,88,1017,3.7,0,40,0.0
02-01-23 01:03,24.9,25.8,88,1016,3.7,0,40,0.0
02-01-23 02:08,23.9,24.8,94,1016,3.7,0,40,0.0
02-01-23 03:08,22.5,22.8,77,1015,3.2,47,28,0.0
02-01-23 04:06,22.4,22.7,78,1016,3.4,62,29,0.0
02-01-23 05:08,23.9,24.7,88,1015,3.7,0,40,0.0
02-01-23 07:25,22.9,23.9,100,1017,3.7,0,40,0.0
02-01-23 08:21,24.4,24.6,68,1019,5.0,64,78,0.0
02-01-23 09:08,24.9,25.8,88,1019,3.7,0,40,0.0
02-01-23 10:11,25.9,26.6,78,1019,3.7,0,40,0.0
02-01-23 11:08,25.9,26.6,78,1019,3.7,0,40,0.0
02-01-23 12:11,25.9,26.4,69,1018,11.1,130,75,0.0
02-01-23 13:05,26.9,28.4,65,1017,13.0,110,75,0.0
02-01-23 14:11,26.9,28.1,61,1016,13.0,100,75,0.0
02-01-23 15:08,27.9,29.1,57,1015,13.0,120,40,0.0
02-01-23 16:07,26.9,28.1,61,1015,13.0,130,40,0.0
02-01-23 17:08,26.9,28.1,61,1015,13.0,130,40,0.0
02-01-23 18:28,24.9,25.5,78,1016,7.4,100,40,0.0
02-01-23 19:08,24.9,25.5,78,1016,7.4,120,40,0.0
02-01-23 20:07,23.9,24.6,83,1018,3.7,0,40,0.0
02-01-23 21:08,22.9,23.7,94,1018,3.7,0,40,0.0
02-01-23 22:15,22.9,23.7,94,1018,3.7,0,40,0.0
02-01-23 23:08,22.9,23.6,88,1018,3.7,0,40,0.0
03-01-23 00:10,22.9,23.6,88,1018,3.7,0,40,0.0
